"","gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score"
"892","female","group E","associate's degree","standard","none",85,92,85
"894","male","group D","some high school","standard","completed",88,74,75
"895","female","group E","associate's degree","standard","none",59,62,69
"899","male","group D","associate's degree","standard","completed",67,54,63
"900","female","group D","some high school","standard","completed",65,78,82
"901","male","group D","master's degree","standard","none",85,84,89
"902","female","group C","master's degree","standard","none",73,78,74
"906","male","group D","some college","standard","none",88,77,77
"907","male","group B","high school","standard","none",57,48,51
"908","female","group D","some college","standard","completed",79,84,91
"910","male","group E","bachelor's degree","standard","completed",70,64,70
"912","female","group A","some college","standard","none",69,84,82
"913","female","group C","bachelor's degree","standard","completed",52,61,66
"916","female","group E","some college","standard","none",68,70,66
"917","male","group E","bachelor's degree","standard","completed",100,100,100
"918","female","group C","high school","standard","none",44,61,52
"919","female","group C","associate's degree","standard","completed",57,77,80
"920","male","group B","some college","standard","completed",91,96,91
"923","male","group D","high school","standard","none",72,66,66
"926","male","group E","some high school","standard","completed",74,64,60
"935","male","group C","associate's degree","standard","completed",98,87,90
"937","male","group A","associate's degree","standard","none",67,57,53
"939","male","group D","some college","standard","completed",85,81,85
"940","male","group D","some high school","standard","completed",77,68,69
"942","female","group D","master's degree","standard","none",78,91,96
"943","male","group C","high school","standard","none",81,66,64
"945","female","group B","high school","standard","none",58,68,61
"946","female","group C","associate's degree","standard","none",54,61,58
"947","male","group B","high school","standard","none",82,82,80
"951","male","group E","high school","standard","none",94,73,71
"952","female","group D","some college","standard","completed",75,77,83
"954","male","group C","high school","standard","completed",58,52,54
"955","female","group C","some college","standard","none",62,69,69
"956","male","group E","associate's degree","standard","none",72,57,62
"957","male","group C","some college","standard","none",84,87,81
"958","female","group D","master's degree","standard","none",92,100,100
"959","female","group D","high school","standard","none",45,63,59
"960","male","group C","high school","standard","none",75,81,71
"961","female","group A","some college","standard","none",56,58,64
"963","female","group E","associate's degree","standard","none",100,100,100
"965","male","group D","some college","standard","none",72,57,58
"966","female","group D","some college","standard","none",62,70,72
"967","male","group A","some high school","standard","completed",66,68,64
"968","male","group C","some college","standard","none",63,63,60
"969","female","group E","associate's degree","standard","none",68,76,67
"970","female","group B","bachelor's degree","standard","none",75,84,80
"971","female","group D","bachelor's degree","standard","none",89,100,100
"972","male","group C","some high school","standard","completed",78,72,69
"975","female","group A","some college","standard","none",54,63,67
"976","female","group C","some college","standard","completed",64,82,77
"978","male","group C","associate's degree","standard","none",62,65,58
"979","male","group D","high school","standard","completed",55,41,48
"980","female","group C","associate's degree","standard","none",91,95,94
"982","male","group D","some high school","standard","none",81,78,78
"983","male","group B","some high school","standard","completed",79,85,86
"984","female","group A","some college","standard","completed",78,87,91
"985","female","group C","some high school","standard","none",74,75,82
"986","male","group A","high school","standard","none",57,51,54
"987","female","group C","associate's degree","standard","none",40,59,51
"988","male","group E","some high school","standard","completed",81,75,76
"992","female","group B","some high school","standard","completed",65,82,78
"995","male","group A","high school","standard","none",63,63,62
"996","female","group E","master's degree","standard","completed",88,99,95
"999","female","group D","some college","standard","completed",68,78,77
